127.0.0.1 - - [28/Apr/2016:18:22:53 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/ HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/css/styles.min.css HTTP/1.1" 200 275774
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/js/bootstrap.min.js HTTP/1.1" 200 27726
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/js/jquery-1.10.2.min.js HTTP/1.1" 200 93099
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/js/jqueryui-1.10.3.min.js HTTP/1.1" 200 228090
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/js/alert.js HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/img/BPS_LOGO.png HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:23:00 +0800] "GET /PersonnelTravelManagementWeb/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:25:26 +0800] "POST /PersonnelTravelManagementWeb/Authentication HTTP/1.1" 200 2766
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:26:04 +0800] "POST /PersonnelTravelManagementWeb/Authentication HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:26:04 +0800] "GET /PersonnelTravelManagementWeb/Dashboard HTTP/1.1" 200 21347
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:26:04 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/variations/default.css HTTP/1.1" 200 -
