127.0.0.1 - - [19/Jun/2016:22:02:04 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:06 +0800] "GET /PersonnelTravelManagementWeb/ HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:14 +0800] "POST /PersonnelTravelManagementWeb/Authentication HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:14 +0800] "GET /PersonnelTravelManagementWeb/Dashboard HTTP/1.1" 200 21216
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:24 +0800] "GET /PersonnelTravelManagementWeb/TravelOrderReport HTTP/1.1" 200 20668
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:24 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:24 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:24 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:24 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:31 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelOrder?toid=2 HTTP/1.1" 200 9017
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:44 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelOrder?toid=1 HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:44 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelOrder?toid=1 HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:02:58 +0800] "GET /PersonnelTravelManagementWeb/Dashboard HTTP/1.1" 200 21216
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:04 +0800] "GET /PersonnelTravelManagementWeb/TravelExpenseReport HTTP/1.1" 200 19134
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:04 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:04 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:04 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:04 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:06 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelExpense?odid=2 HTTP/1.1" 200 9257
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:03:07 +0800] "GET /PersonnelTravelManagementWeb/_ReportTravelExpense?odid=2 HTTP/1.1" 200 9252
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/TravelExpenseReport HTTP/1.1" 200 19134
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/fonts/glyphicons/css/glyphicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/variations/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-toggle/toggles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/css/styles.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/css/custom.css HTTP/1.1" 304 -
